player_id,full_name,first_name,last_name,team,position,weight,status,search_full_name,number,birth_date,height,espn_id,years_exp,yahoo_id,search_rank,college,rotowire_id,age,active,fantasy_data_id,injury_status,rotoworld_id,swish_id,stats_id,injury_body_part,practice_participation
5870,Daniel Jones,Daniel,Jones,NYG,QB,230,Active,danieljones,8,1997-05-27,77,3917792,3,31838,203,Duke,13491,25,TRUE,20841,NA,13963,879981,879981,NA,NA
8595,Kyric McGowan,Kyric,McGowan,WAS,WR,198,Active,kyricmcgowan,83,NA,71,NA,0,NA,606,Georgia Tech,16360,NA,TRUE,NA,NA,NA,1055267,NA,NA,NA
3199,Michael Thomas,Michael,Thomas,NO,WR,212,Active,michaelthomas,13,1993-03-03,75,2976316,6,29281,68,Ohio State,10759,29,TRUE,17960,NA,11222,653699,653699,NA,NA
8209,Makai Polk,Makai,Polk,BAL,WR,197,Active,makaipolk,18,2001-08-04,75,NA,0,NA,647,Mississippi State,16099,21,TRUE,NA,NA,NA,1161426,NA,NA,NA
5781,Malik Turner,Malik,Turner,SF,WR,202,Active,malikturner,17,1996-01-30,74,3115928,4,31777,9999999,Illinois,13378,26,TRUE,20684,NA,13906,830686,830686,NA,NA
6992,Michael Warren,Michael,Warren,DET,RB,224,Inactive,michaelwarren,0,1998-11-12,71,4239083,2,32972,356,Cincinnati,14496,23,TRUE,21793,NA,NA,NA,NA,NA,NA
WAS,Washington Commanders,Washington,Commanders,WAS,DEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
4981,Calvin Ridley,Calvin,Ridley,ATL,WR,190,Inactive,calvinridley,18,1994-12-20,73,3925357,4,30996,216,Alabama,12616,27,TRUE,19802,Sus,13137,884013,884013,NA,NA
8248,Kalil Pimpleton,Kalil,Pimpleton,DET,WR,172,Active,kalilpimpleton,83,NA,69,NA,0,NA,460,Central Michigan,16168,NA,TRUE,NA,NA,NA,976983,NA,NA,NA
2025,Albert Wilson,Albert,Wilson,MIN,WR,195,Active,albertwilson,25,1992-07-12,69,17051,8,28046,9999999,Georgia State,9491,30,TRUE,16308,NA,9572,556955,556955,NA,NA
